id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_36,Celebrities,08-04-2024,T-Shirt,unisex,"red, yellow",checks,athleisure,847,79,38220,Europe,img_036.jpg,,fit,cropped,crew neck,full sleeve,denim,13048.67,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_37,YouTube,25-11-2024,Blazer,men,white,polka dots,festive,3678,141,33314,Global,img_037.jpg,,fit,cropped,polo neck,sleeveless,rayon,12377.67,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_38,Facebook,16-09-2024,Top,women,blue,animal print,formal,3062,95,30223,Global,img_038.jpg,,oversized,knee-length,square neck,half sleeve,denim,11126.67,trending memes,Cottagecore Revival Meme 2024
instagram_39,Facebook,24-06-2025,Jacket,unisex,blue,polka dots,streetwear,6996,4,15775,US,img_039.jpg,,a-line,maxi,halter,half sleeve,cotton,7591.67,franchise,Star Wars New Trilogy 2025
instagram_40,Marketplace,07-10-2024,Jeans,unisex,blue,checks,festive,3887,211,36811,US,img_040.jpg,,a-line,mini,off-shoulder,bell sleeve,knits,13636.33,designer launches,Zara Designer Collab 2024
instagram_41,Celebrities,14-01-2024,Kurti,women,white,checks,athleisure,7984,412,19110,US,img_041.jpg,,fit,knee-length,v-neck,full sleeve,cotton,9168.67,books,Bestseller Book Tour 2024
instagram_42,Cinema,14-02-2024,Kurti,women,yellow,floral,festive,1411,19,33066,Europe,img_042.jpg,,straight cut,knee-length,v-neck,half sleeve,denim,11498.67,designer launches,Gucci FW 2024
instagram_43,Facebook,18-12-2025,Dress,women,blue,graphic prints,athleisure,2441,358,2568,Europe,img_043.jpg,,regular,cropped,polo neck,cap sleeve,cotton,1789,books,Book-to-Film Adaptation 2025
instagram_44,Marketplace,17-12-2025,Kurta,men,white,stripes,festive,1461,139,5341,Global,img_044.jpg,,a-line,mini,crew neck,cap sleeve,polyester,2313.67,franchise,Star Wars New Trilogy 2025
instagram_45,Marketplace,29-09-2025,Blazer,men,beige,abstract,athleisure,8404,223,20878,US,img_045.jpg,,regular,full-length,halter,puff sleeve,polyester,9835,event - memes,Super Bowl Halftime Meme 2025
instagram_46,Instagram,22-03-2024,Dress,women,green,animal print,athleisure,9760,207,1706,Europe,img_046.jpg,,regular,midi,off-shoulder,half sleeve,blends,3891,event - political,India State Elections 2024
instagram_47,Instagram,16-04-2024,T-Shirt,unisex,"green, red",stripes,formal,840,403,10469,India,img_047.jpg,,relaxed fit,ankle-length,halter,half sleeve,blends,3904,designer launches,Zara Designer Collab 2024
instagram_48,YouTube,14-06-2024,Hoodie,unisex,black,solid,athleisure,549,44,8356,India,img_048.jpg,,straight cut,mini,polo neck,bell sleeve,rayon,2983,event - political,US Presidential Election 2024
instagram_49,YouTube,08-07-2024,T-Shirt,men,beige,floral,casual,1358,210,8588,India,img_049.jpg,,flared,cropped,square neck,full sleeve,viscose,3385.33,trending memes,Galaxy Brain Remix
instagram_50,Instagram,07-08-2024,Hoodie,unisex,beige,solid,casual,5945,72,23787,US,img_050.jpg,,bodycon,ankle-length,square neck,cap sleeve,jersey,9934.67,cinemas/series/cartoons/anime,Dune 2 Release 2024
instagram_51,YouTube,24-12-2024,Saree,women,white,floral,streetwear,6783,26,9023,US,img_051.jpg,,relaxed fit,knee-length,crew neck,half sleeve,blends,5277.33,trending memes,Vogue Challenge 2024
instagram_52,Marketplace,19-06-2024,Hoodie,unisex,pink,solid,casual,919,235,51843,Europe,img_052.jpg,,straight cut,full-length,halter,half sleeve,blends,17665.67,designer launches,Ralph Lauren Spring Collection 2024
instagram_53,YouTube,05-05-2024,Jeans,men,"green, beige",abstract,festive,1123,549,7187,Global,img_053.jpg,,oversized,knee-length,collared,half sleeve,linen,2953,event - political,US Presidential Election 2024
instagram_54,Instagram,02-03-2025,Skirt,women,black,graphic prints,casual,2388,177,7050,India,img_054.jpg,,bodycon,cropped,boat neck,bell sleeve,rayon,3205,books,Book-to-Film Adaptation 2025
instagram_55,YouTube,08-12-2025,Jeans,unisex,red,abstract,streetwear,6546,51,15156,US,img_055.jpg,,flared,mini,polo neck,bell sleeve,rayon,7251,event - memes,Super Bowl Halftime Meme 2025
instagram_56,Celebrities,21-03-2024,T-Shirt,unisex,green,solid,streetwear,304,130,14683,Europe,img_056.jpg,,oversized,mini,crew neck,3/4 sleeve,viscose,5039,franchise,Marvel Phase 5 Release 2024
instagram_57,Marketplace,24-08-2025,Hoodie,unisex,yellow,abstract,festive,4309,277,4611,Global,img_057.jpg,,oversized,midi,polo neck,full sleeve,linen,3065.67,designer launches,Prada SS 2025
instagram_58,Marketplace,28-04-2024,Hoodie,unisex,green,animal print,athleisure,93,45,19448,Europe,img_058.jpg,,flared,full-length,boat neck,sleeveless,linen,6528.67,trending memes,Vogue Challenge 2024
instagram_59,Marketplace,27-10-2025,T-Shirt,unisex,red,polka dots,athleisure,5564,177,11912,Europe,img_059.jpg,,fit,mini,collared,sleeveless,polyester,5884.33,designer launches,Dior Haute 2025
instagram_60,Marketplace,06-06-2024,T-Shirt,unisex,beige,animal print,festive,2292,116,13298,India,img_060.jpg,,a-line,full-length,halter,sleeveless,blends,5235.33,franchise,Fast X Sequel 2024
instagram_61,Instagram,30-06-2025,Skirt,women,"blue, green",solid,streetwear,835,24,24535,India,img_061.jpg,,a-line,knee-length,polo neck,sleeveless,viscose,8464.67,event - memes,Super Bowl Halftime Meme 2025
instagram_62,YouTube,12-06-2024,Kurti,women,red,solid,formal,7491,151,16047,India,img_062.jpg,,oversized,ankle-length,crew neck,puff sleeve,denim,7896.33,event - political,US Presidential Election 2024
instagram_63,Cinema,05-04-2024,Blazer,men,red,polka dots,festive,4852,192,51169,Global,img_063.jpg,,flared,cropped,polo neck,3/4 sleeve,viscose,18737.67,event - political,India State Elections 2024
instagram_64,YouTube,19-11-2024,Blazer,men,yellow,animal print,formal,1043,131,38008,India,img_064.jpg,,oversized,maxi,halter,bell sleeve,cotton,13060.67,trending memes,Distracted Boyfriend Revival
instagram_65,Instagram,07-12-2025,T-Shirt,unisex,green,abstract,streetwear,2721,360,17663,Global,img_065.jpg,,flared,knee-length,boat neck,full sleeve,linen,6914.67,event - memes,Super Bowl Halftime Meme 2025
instagram_66,Celebrities,18-05-2024,Skirt,women,yellow,checks,festive,1038,250,10613,India,img_066.jpg,,regular,maxi,collared,half sleeve,linen,3967,designer launches,Gucci FW 2024
instagram_67,Cinema,13-07-2024,Top,women,blue,animal print,formal,9000,23,58565,US,img_067.jpg,,oversized,ankle-length,off-shoulder,half sleeve,polyester,22529.33,franchise,Marvel Phase 5 Release 2024
instagram_68,YouTube,24-07-2024,Saree,women,red,abstract,streetwear,2044,425,9571,Europe,img_068.jpg,,regular,maxi,square neck,3/4 sleeve,jersey,4013.33,franchise,Fast X Sequel 2024
instagram_69,Celebrities,17-05-2025,Kurti,women,pink,graphic prints,streetwear,5010,58,16883,Europe,img_069.jpg,,Slim fit,mini,v-neck,cap sleeve,linen,7317,franchise,Star Wars New Trilogy 2025
instagram_70,Facebook,07-11-2024,Kurta,men,white,tie-dye,formal,275,366,3815,Europe,img_070.jpg,,relaxed fit,cropped,v-neck,cap sleeve,linen,1485.33,event - political,US Presidential Election 2024
instagram_71,Instagram,08-04-2024,Jeans,unisex,green,checks,formal,3858,293,42886,India,img_071.jpg,,a-line,ankle-length,off-shoulder,half sleeve,knits,15679,event - political,US Presidential Election 2024
instagram_72,YouTube,02-07-2024,Top,women,"red, black",checks,casual,147,322,11166,India,img_072.jpg,,fit,cropped,crew neck,3/4 sleeve,linen,3878.33,books,Pulitzer Feature 2024
instagram_73,YouTube,29-05-2025,Skirt,women,"blue, white",animal print,festive,2849,36,58669,Global,img_073.jpg,,regular,midi,halter,3/4 sleeve,viscose,20518,designer launches,Dior Haute 2025
instagram_74,Cinema,25-06-2024,Skirt,women,yellow,animal print,festive,2278,52,24098,India,img_074.jpg,,regular,cropped,off-shoulder,full sleeve,cotton,8809.33,event - memes,April Fools Viral 2024
instagram_75,Facebook,22-02-2024,T-Shirt,unisex,pink,stripes,festive,8291,390,43375,India,img_075.jpg,,Slim fit,knee-length,polo neck,sleeveless,cotton,17352,designer launches,Zara Designer Collab 2024
instagram_76,Cinema,09-05-2024,Jeans,men,"beige, white",checks,casual,4181,114,12569,Global,img_076.jpg,,Slim fit,maxi,polo neck,sleeveless,viscose,5621.33,franchise,Fast X Sequel 2024
instagram_77,YouTube,22-07-2024,Saree,women,blue,solid,streetwear,4247,176,40187,Global,img_077.jpg,,fit,knee-length,boat neck,full sleeve,viscose,14870,franchise,Marvel Phase 5 Release 2024
instagram_78,Celebrities,15-02-2024,Blazer,men,"yellow, black",abstract,formal,5115,48,14396,Global,img_078.jpg,,oversized,cropped,polo neck,sleeveless,jersey,6519.67,event - memes,Oscar Memes 2024
instagram_79,Facebook,13-06-2025,Jeans,men,white,abstract,streetwear,6698,59,51486,India,img_079.jpg,,Slim fit,full-length,crew neck,half sleeve,viscose,19414.33,designer launches,Dior Haute 2025
instagram_80,Cinema,19-10-2024,Jacket,unisex,"black, white",solid,casual,5793,85,1925,Global,img_080.jpg,,flared,midi,square neck,3/4 sleeve,rayon,2601,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_81,Instagram,28-03-2024,Kurta,men,yellow,abstract,athleisure,4339,50,17278,Global,img_081.jpg,,a-line,midi,halter,3/4 sleeve,viscose,7222.33,event - memes,Oscar Memes 2024
instagram_82,Cinema,14-09-2024,Blazer,men,"black, pink, green",solid,athleisure,4050,253,4296,Global,img_082.jpg,,flared,maxi,polo neck,sleeveless,cotton,2866.33,trending memes,Vogue Challenge 2024
instagram_83,Cinema,04-03-2024,Jeans,unisex,blue,tie-dye,formal,1551,448,32746,Europe,img_083.jpg,,flared,midi,halter,cap sleeve,polyester,11581.67,books,Pulitzer Feature 2024
instagram_84,Instagram,25-09-2025,Jeans,men,"blue, green, yellow",checks,formal,772,412,44619,US,img_084.jpg,,Slim fit,maxi,square neck,sleeveless,denim,15267.67,trending memes,Distracted Boyfriend Revival
instagram_85,Celebrities,15-11-2024,Kurta,men,green,animal print,festive,6681,48,11173,US,img_085.jpg,,bodycon,cropped,collared,cap sleeve,jersey,5967.33,event - political,US Presidential Election 2024
instagram_86,Marketplace,04-09-2024,T-Shirt,men,pink,checks,streetwear,6216,22,33488,US,img_086.jpg,,a-line,ankle-length,crew neck,cap sleeve,cotton,13242,franchise,Fast X Sequel 2024
instagram_87,Marketplace,09-08-2025,Jacket,unisex,"yellow, white",tie-dye,formal,1997,115,33277,Global,img_087.jpg,,straight cut,cropped,square neck,full sleeve,denim,11796.33,event - memes,Super Bowl Halftime Meme 2025
instagram_88,Marketplace,04-05-2024,Jacket,unisex,white,abstract,festive,6365,183,35842,India,img_088.jpg,,a-line,ankle-length,crew neck,puff sleeve,denim,14130,designer launches,Zara Designer Collab 2024
instagram_89,YouTube,02-05-2024,Jeans,men,red,checks,streetwear,2574,32,939,US,img_089.jpg,,Slim fit,knee-length,crew neck,cap sleeve,polyester,1181.67,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_90,YouTube,17-02-2024,T-Shirt,unisex,white,solid,streetwear,2543,181,20561,Global,img_090.jpg,,oversized,full-length,off-shoulder,cap sleeve,viscose,7761.67,books,Bestseller Book Tour 2024
instagram_91,Marketplace,21-10-2024,Sweatshirt,unisex,black,solid,formal,1528,189,41174,Global,img_091.jpg,,relaxed fit,maxi,square neck,3/4 sleeve,denim,14297,cinemas/series/cartoons/anime,Barbie Movie 2024
instagram_92,Facebook,21-06-2024,Jeans,men,pink,abstract,festive,9232,237,51607,Europe,img_092.jpg,,oversized,ankle-length,square neck,puff sleeve,linen,20358.67,trending memes,Galaxy Brain Remix
instagram_93,YouTube,19-01-2024,Blazer,men,blue,floral,streetwear,1230,14,19787,Global,img_093.jpg,,regular,mini,square neck,3/4 sleeve,blends,7010.33,books,Bestseller Book Tour 2024
instagram_94,YouTube,04-04-2024,Dress,women,red,solid,streetwear,2548,419,26037,Europe,img_094.jpg,,straight cut,maxi,collared,half sleeve,polyester,9668,trending memes,Cottagecore Revival Meme 2024
instagram_95,Instagram,24-09-2024,Blazer,men,pink,polka dots,formal,8149,74,20533,US,img_095.jpg,,fit,mini,v-neck,full sleeve,cotton,9585.33,books,Bestseller Book Tour 2024
instagram_96,Cinema,20-10-2024,Jeans,unisex,blue,tie-dye,formal,2508,220,33682,US,img_096.jpg,,bodycon,ankle-length,v-neck,bell sleeve,jersey,12136.67,books,Pulitzer Feature 2024
instagram_97,Celebrities,01-05-2024,T-Shirt,unisex,green,solid,athleisure,3489,106,37411,Europe,img_097.jpg,,oversized,mini,boat neck,cap sleeve,jersey,13668.67,event - political,US Presidential Election 2024
instagram_98,YouTube,14-12-2024,Shirt,men,"red, white",checks,streetwear,3459,152,44957,India,img_098.jpg,,relaxed fit,cropped,collared,full sleeve,blends,16189.33,trending memes,Galaxy Brain Remix
instagram_99,Facebook,24-02-2024,Dress,women,beige,abstract,streetwear,2281,283,39778,US,img_099.jpg,,a-line,full-length,polo neck,cap sleeve,jersey,14114,books,Bestseller Book Tour 2024
instagram_100,Marketplace,22-05-2024,Dress,women,"black, white",graphic prints,festive,2860,311,41443,US,img_100.jpg,,relaxed fit,ankle-length,square neck,puff sleeve,jersey,14871.33,event - political,India State Elections 2024
instagram_101,Marketplace,05-10-2025,Kurta,men,yellow,checks,streetwear,5075,165,55653,India,img_101.jpg,,straight cut,ankle-length,crew neck,sleeveless,viscose,20297.67,trending memes,Galaxy Brain Remix
instagram_102,YouTube,29-06-2024,Top,women,"green, white",floral,festive,4409,56,7913,India,img_102.jpg,,straight cut,knee-length,v-neck,bell sleeve,viscose,4126,cinemas/series/cartoons/anime,Dune 2 Release 2024
instagram_103,YouTube,12-03-2025,Kurta,men,red,stripes,formal,54,103,67821,Europe,img_103.jpg,,straight cut,ankle-length,v-neck,bell sleeve,jersey,22659.33,trending memes,Distracted Boyfriend Revival
instagram_104,Facebook,10-01-2024,T-Shirt,men,blue,graphic prints,athleisure,8020,350,22345,Europe,img_104.jpg,,relaxed fit,midi,crew neck,bell sleeve,polyester,10238.33,designer launches,Chanel Cruise 2024
instagram_105,Celebrities,14-07-2024,Kurta,men,black,floral,athleisure,180,33,45666,US,img_105.jpg,,flared,full-length,halter,full sleeve,blends,15293,franchise,Fast X Sequel 2024
instagram_106,Celebrities,21-07-2024,Sweatshirt,unisex,"red, beige",checks,festive,5838,33,28713,Global,img_106.jpg,,oversized,mini,polo neck,bell sleeve,knits,11528,books,Bestseller Book Tour 2024
instagram_107,YouTube,15-05-2024,Sweatshirt,unisex,"yellow, red",stripes,formal,420,300,26743,Europe,img_107.jpg,,a-line,midi,v-neck,full sleeve,linen,9154.33,trending memes,Distracted Boyfriend Revival
instagram_108,Marketplace,28-08-2024,Dress,women,green,stripes,streetwear,401,176,43734,India,img_108.jpg,,Slim fit,cropped,boat neck,3/4 sleeve,blends,14770.33,cinemas/series/cartoons/anime,One Piece Saga 2024
instagram_109,Instagram,19-06-2024,Top,women,"blue, yellow",solid,formal,2685,0,6660,Global,img_109.jpg,,regular,full-length,boat neck,puff sleeve,denim,3115,trending memes,Galaxy Brain Remix
instagram_110,Celebrities,02-07-2025,T-Shirt,unisex,"pink, beige",animal print,streetwear,5606,142,11096,US,img_110.jpg,,flared,knee-length,halter,bell sleeve,denim,5614.67,franchise,Star Wars New Trilogy 2025
instagram_111,Celebrities,14-06-2025,Kurta,men,blue,floral,athleisure,2213,51,9533,India,img_111.jpg,,regular,maxi,v-neck,puff sleeve,polyester,3932.33,designer launches,Dior Haute 2025
instagram_112,Marketplace,13-03-2024,T-Shirt,unisex,beige,abstract,streetwear,3539,228,5271,Global,img_112.jpg,,a-line,full-length,boat neck,sleeveless,rayon,3012.67,event - memes,Oscar Memes 2024
instagram_113,YouTube,29-07-2025,Saree,women,yellow,graphic prints,casual,2174,57,39886,India,img_113.jpg,,oversized,ankle-length,halter,bell sleeve,viscose,14039,event - memes,Super Bowl Halftime Meme 2025
instagram_114,Facebook,02-06-2025,Jacket,unisex,blue,polka dots,streetwear,204,383,26418,Europe,img_114.jpg,,relaxed fit,knee-length,collared,cap sleeve,linen,9001.67,designer launches,Prada SS 2025
instagram_115,Instagram,01-09-2024,Kurti,women,green,solid,formal,801,345,30227,India,img_115.jpg,,relaxed fit,midi,collared,half sleeve,cotton,10457.67,trending memes,Cottagecore Revival Meme 2024
instagram_116,Facebook,28-04-2024,Jacket,unisex,pink,polka dots,athleisure,4287,85,1647,Global,img_116.jpg,,oversized,midi,boat neck,half sleeve,rayon,2006.33,trending memes,Cottagecore Revival Meme 2024
instagram_117,YouTube,26-07-2024,Shirt,men,"black, red, blue",abstract,formal,5650,246,6157,US,img_117.jpg,,relaxed fit,midi,v-neck,sleeveless,linen,4017.67,trending memes,Cottagecore Revival Meme 2024
instagram_118,Cinema,19-01-2024,Jeans,men,beige,checks,formal,5638,403,13225,Global,img_118.jpg,,oversized,maxi,halter,cap sleeve,cotton,6422,franchise,Fast X Sequel 2024
instagram_119,Cinema,21-12-2024,Kurta,men,green,abstract,formal,769,216,22690,India,img_119.jpg,,oversized,ankle-length,polo neck,sleeveless,rayon,7891.67,trending memes,Vogue Challenge 2024
instagram_120,Facebook,28-04-2024,Saree,women,pink,solid,formal,1423,97,45908,Europe,img_120.jpg,,oversized,ankle-length,off-shoulder,bell sleeve,denim,15809.33,franchise,Fast X Sequel 2024
instagram_121,Celebrities,01-06-2024,Top,women,green,tie-dye,streetwear,1121,194,7436,India,img_121.jpg,,bodycon,ankle-length,polo neck,3/4 sleeve,cotton,2917,trending memes,Cottagecore Revival Meme 2024
instagram_122,Instagram,25-12-2024,Dress,women,"beige, red",tie-dye,casual,3066,274,13365,Global,img_122.jpg,,a-line,ankle-length,boat neck,cap sleeve,knits,5568.33,franchise,Marvel Phase 5 Release 2024
instagram_123,Marketplace,28-09-2024,Blazer,men,blue,solid,formal,719,38,26089,US,img_123.jpg,,flared,cropped,collared,bell sleeve,blends,8948.67,designer launches,Zara Designer Collab 2024
instagram_124,Facebook,06-08-2024,Top,women,green,polka dots,formal,4257,251,2455,Europe,img_124.jpg,,relaxed fit,maxi,v-neck,half sleeve,rayon,2321,event - political,India State Elections 2024
instagram_125,Celebrities,19-08-2024,Shirt,men,beige,abstract,festive,3405,234,26395,US,img_125.jpg,,bodycon,full-length,square neck,half sleeve,viscose,10011.33,trending memes,Cottagecore Revival Meme 2024
instagram_126,Marketplace,02-11-2024,Shirt,men,"white, black",animal print,athleisure,4377,96,15977,India,img_126.jpg,,bodycon,cropped,collared,cap sleeve,jersey,6816.67,event - memes,Oscar Memes 2024
instagram_127,Celebrities,21-12-2024,Jacket,unisex,"red, blue",graphic prints,formal,2882,392,62632,Global,img_127.jpg,,oversized,ankle-length,v-neck,half sleeve,polyester,21968.67,event - memes,April Fools Viral 2024
instagram_128,Facebook,21-07-2025,Blazer,men,pink,solid,formal,8840,140,62260,US,img_128.jpg,,a-line,cropped,square neck,sleeveless,blends,23746.67,trending memes,Galaxy Brain Remix
instagram_129,Instagram,04-06-2024,Saree,women,white,graphic prints,festive,1888,313,43860,Europe,img_129.jpg,,a-line,full-length,halter,3/4 sleeve,polyester,15353.67,designer launches,Zara Designer Collab 2024
instagram_130,YouTube,23-03-2024,Jeans,unisex,pink,abstract,casual,3814,38,33685,Global,img_130.jpg,,flared,midi,square neck,sleeveless,linen,12512.33,trending memes,Galaxy Brain Remix
instagram_131,YouTube,13-10-2024,Jeans,unisex,beige,solid,formal,1818,311,11009,Europe,img_131.jpg,,oversized,cropped,crew neck,3/4 sleeve,polyester,4379.33,event - memes,April Fools Viral 2024
instagram_132,YouTube,22-03-2024,Skirt,women,pink,abstract,casual,2066,64,44304,Europe,img_132.jpg,,oversized,midi,crew neck,bell sleeve,viscose,15478,franchise,Marvel Phase 5 Release 2024
instagram_133,Marketplace,06-10-2025,Skirt,women,black,stripes,casual,2788,129,25528,US,img_133.jpg,,flared,cropped,off-shoulder,puff sleeve,viscose,9481.67,books,Book-to-Film Adaptation 2025
