id,source,timestamp,garment_type,gender,color,pattern,style,engagement_likes,engagement_comments,engagement_views,geography,image_path,image_url,fit,length,neckline,sleeve,fabric,engagement_metric,influence_type,influence_identifier
instagram_1883,Cinema,2025-03-30,Dress,women,blue,tie-dye,casual,521,417,12792,India,img_1883.jpg,,regular,midi,off-shoulder,bell sleeve,blends,4576.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_1946,YouTube,2025-08-28,Dress,women,green,animal print,casual,1182,214,50568,India,img_1946.jpg,,fit,mini,boat neck,half sleeve,cotton,17321.33,books,Book-to-Film Adaptation 2025
instagram_2068,Celebrities,2025-04-09,Dress,women,beige,tie-dye,casual,6046,20,7267,Global,img_2068.jpg,,bodycon,mini,boat neck,bell sleeve,blends,4444.33,event - memes,Super Bowl Halftime Meme 2025
instagram_2285,Instagram,2025-06-04,Dress,women,"green, blue, black",solid,streetwear,925,14,51955,Europe,img_2285.jpg,,relaxed fit,knee-length,boat neck,half sleeve,jersey,17631.33,books,Book-to-Film Adaptation 2025
instagram_2403,YouTube,2025-07-21,Dress,women,"white, beige",checks,festive,1985,101,42100,Global,img_2403.jpg,,Slim fit,maxi,halter,bell sleeve,knits,14728.67,designer launches,Prada SS 2025
instagram_2419,Facebook,2025-07-02,Dress,women,white,tie-dye,festive,5152,199,13331,Global,img_2419.jpg,,Slim fit,cropped,collared,full sleeve,cotton,6227.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_2545,Facebook,2025-07-10,Dress,women,black,tie-dye,athleisure,475,119,13994,US,img_2545.jpg,,straight cut,cropped,boat neck,puff sleeve,linen,4862.67,trending memes,Galaxy Brain Remix
instagram_2547,Celebrities,2025-06-06,Dress,women,pink,polka dots,festive,3482,442,24767,India,img_2547.jpg,,fit,mini,polo neck,3/4 sleeve,polyester,9563.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_2613,Celebrities,2025-06-28,Dress,women,yellow,animal print,festive,817,32,11840,Europe,img_2613.jpg,,Slim fit,maxi,collared,cap sleeve,cotton,4229.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_2629,Cinema,2025-05-15,Dress,women,yellow,checks,festive,2252,114,12822,US,img_2629.jpg,,relaxed fit,mini,v-neck,sleeveless,cotton,5062.67,books,Book-to-Film Adaptation 2025
instagram_2951,Marketplace,2025-04-15,Dress,women,yellow,stripes,formal,5601,294,36463,Global,img_2951.jpg,,straight cut,mini,halter,half sleeve,cotton,14119.33,trending memes,Galaxy Brain Remix
instagram_2992,Marketplace,2025-07-04,Dress,women,yellow,solid,athleisure,1,625,10883,US,img_2992.jpg,,regular,midi,boat neck,half sleeve,linen,3836.33,franchise,Star Wars New Trilogy 2025
instagram_3006,Facebook,2025-07-07,Dress,women,white,floral,athleisure,9419,17,7372,Global,img_3006.jpg,,fit,knee-length,collared,half sleeve,polyester,5602.67,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_3037,Cinema,2025-08-29,Dress,women,yellow,graphic prints,casual,822,150,24888,Europe,img_3037.jpg,,relaxed fit,full-length,v-neck,sleeveless,blends,8620.0,franchise,Star Wars New Trilogy 2025
instagram_3081,Instagram,2025-03-02,Dress,women,white,polka dots,streetwear,4476,337,31422,Global,img_3081.jpg,,relaxed fit,full-length,collared,full sleeve,denim,12078.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_3381,Cinema,2025-03-21,Dress,women,pink,solid,athleisure,4835,385,2325,India,img_3381.jpg,,flared,full-length,halter,sleeveless,viscose,2515.0,event - memes,Super Bowl Halftime Meme 2025
instagram_3414,YouTube,2025-05-26,Dress,women,black,stripes,casual,3217,281,55102,Global,img_3414.jpg,,relaxed fit,full-length,v-neck,cap sleeve,cotton,19533.33,trending memes,Distracted Boyfriend Revival
instagram_3565,YouTube,2025-04-23,Dress,women,"yellow, green",abstract,formal,1010,286,8189,Europe,img_3565.jpg,,relaxed fit,cropped,boat neck,sleeveless,linen,3161.67,event - memes,Super Bowl Halftime Meme 2025
instagram_3599,Celebrities,2025-07-20,Dress,women,pink,floral,athleisure,588,205,6857,Global,img_3599.jpg,,flared,full-length,off-shoulder,puff sleeve,jersey,2550.0,designer launches,Prada SS 2025
instagram_3624,Celebrities,2025-05-11,Dress,women,green,solid,formal,1083,142,35965,Europe,img_3624.jpg,,straight cut,ankle-length,collared,puff sleeve,polyester,12396.67,franchise,Star Wars New Trilogy 2025
instagram_3824,Cinema,2025-06-02,Dress,women,blue,tie-dye,formal,4019,497,12675,India,img_3824.jpg,,oversized,full-length,boat neck,bell sleeve,viscose,5730.33,franchise,Star Wars New Trilogy 2025
instagram_4162,Marketplace,2025-07-21,Dress,women,beige,checks,streetwear,3923,2,17880,US,img_4162.jpg,,Slim fit,maxi,boat neck,bell sleeve,blends,7268.33,designer launches,Prada SS 2025
instagram_4286,Celebrities,2025-07-06,Dress,women,red,checks,casual,3563,216,1670,India,img_4286.jpg,,bodycon,cropped,collared,full sleeve,cotton,1816.33,designer launches,Dior Haute 2025
instagram_4452,Marketplace,2025-05-26,Dress,women,"beige, green",polka dots,streetwear,8023,178,50761,Europe,img_4452.jpg,,straight cut,ankle-length,halter,cap sleeve,blends,19654.0,books,Book-to-Film Adaptation 2025
instagram_4457,Marketplace,2025-05-21,Dress,women,blue,graphic prints,casual,1675,293,28521,India,img_4457.jpg,,a-line,midi,halter,3/4 sleeve,viscose,10163.0,franchise,Star Wars New Trilogy 2025
instagram_4470,Instagram,2025-08-12,Dress,women,blue,checks,streetwear,828,207,58857,US,img_4470.jpg,,a-line,maxi,v-neck,full sleeve,knits,19964.0,designer launches,Dior Haute 2025
instagram_4685,Instagram,2025-03-19,Dress,women,"yellow, black",solid,festive,2231,53,31004,Global,img_4685.jpg,,Slim fit,mini,v-neck,3/4 sleeve,jersey,11096.0,designer launches,Prada SS 2025
instagram_4860,Celebrities,2025-08-13,Dress,women,black,floral,festive,707,142,51988,US,img_4860.jpg,,oversized,midi,halter,3/4 sleeve,linen,17612.33,trending memes,Distracted Boyfriend Revival
instagram_4974,Marketplace,2025-05-06,Dress,women,black,graphic prints,athleisure,3271,278,33769,India,img_4974.jpg,,relaxed fit,ankle-length,crew neck,sleeveless,blends,12439.33,designer launches,Prada SS 2025
instagram_5084,Facebook,2025-06-26,Dress,women,pink,checks,athleisure,517,390,45615,US,img_5084.jpg,,flared,mini,boat neck,3/4 sleeve,knits,15507.33,event - memes,Super Bowl Halftime Meme 2025
instagram_5131,Cinema,2025-04-23,Dress,women,"green, pink",stripes,athleisure,1834,144,29915,Europe,img_5131.jpg,,Slim fit,mini,v-neck,cap sleeve,knits,10631.0,books,Book-to-Film Adaptation 2025
instagram_5135,Facebook,2025-07-14,Dress,women,black,tie-dye,streetwear,1871,412,8859,Global,img_5135.jpg,,oversized,knee-length,off-shoulder,full sleeve,blends,3714.0,franchise,Star Wars New Trilogy 2025
instagram_5356,Facebook,2025-04-24,Dress,women,beige,tie-dye,festive,6393,353,9370,India,img_5356.jpg,,Slim fit,knee-length,halter,full sleeve,linen,5372.0,franchise,Star Wars New Trilogy 2025
instagram_5425,Cinema,2025-03-25,Dress,women,black,checks,formal,8818,191,43609,Global,img_5425.jpg,,regular,full-length,boat neck,3/4 sleeve,cotton,17539.33,designer launches,Dior Haute 2025
instagram_5605,Facebook,2025-07-27,Dress,women,yellow,animal print,athleisure,2673,484,49116,Europe,img_5605.jpg,,relaxed fit,maxi,boat neck,puff sleeve,linen,17424.33,franchise,Star Wars New Trilogy 2025
instagram_5716,Instagram,2025-03-26,Dress,women,black,graphic prints,streetwear,6408,208,28454,Europe,img_5716.jpg,,a-line,ankle-length,halter,cap sleeve,denim,11690.0,designer launches,Dior Haute 2025
instagram_5735,Facebook,2025-06-20,Dress,women,green,abstract,streetwear,474,466,30851,Europe,img_5735.jpg,,a-line,knee-length,collared,puff sleeve,knits,10597.0,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
instagram_5845,Facebook,2025-05-01,Dress,women,"blue, white",graphic prints,athleisure,2247,367,47693,Global,img_5845.jpg,,straight cut,mini,crew neck,full sleeve,denim,16769.0,books,Book-to-Film Adaptation 2025
instagram_5943,Celebrities,2025-06-04,Dress,women,blue,stripes,festive,6729,206,9647,US,img_5943.jpg,,fit,maxi,halter,sleeveless,rayon,5527.33,cinemas/series/cartoons/anime,Strange New Worlds Season 3 2025
